review,rating,cleaned_review,sentiment
keren,5,keren,netral
Keseringan eror,3,keseringan eror,netral
Kebanyakan update,3,kebanyakan update,netral
Alhamdulillah lebih efisien,5,alhamdulillah lebih efisien,netral
BARCODE BIKIN SENGSARA SOLAR DI BLOKIR 45U DAH,5,barcode bikin sengsara solar di blokir u dah,netral
G pernah bisa dipakai dan email g pernah dpt,1,g pernah bisa dipakai dan email g pernah dpt,netral
update trs,2,update trs,netral
mudah digunakan 🙏,5,mudah digunakan,netral
Kenapa saya daftar jenis mobil saya gak ada transportasi online padahal distnk tulisan mobil penumpang tolong admin bantuannya,2,kenapa saya daftar jenis mobil saya gak ada transportasi online padahal distnk tulisan mobil penumpang tolong admin bantuannya,netral
Baik,5,baik,netral
mantabs,5,mantabs,netral
Good,5,good,positif
Aplikasi busuk server lawak,1,aplikasi busuk server lawak,netral
Pelayanan verifikasi jelek.,1,pelayanan verifikasi jelek,netral
aplikasi terjelek,1,aplikasi terjelek,netral
"Suudah pendaftaran nya ribet + BBM nya di oplos lagi, bukan nya mempermudah malah dipersulit.",1,suudah pendaftaran nya ribet  bbm nya di oplos lagi bukan nya mempermudah malah dipersulit,netral
Pelayanan cepat mantap dan sangat memuaskan,5,pelayanan cepat mantap dan sangat memuaskan,netral
Ok,4,ok,positif
pelayanan yg sangat buruk,1,pelayanan yg sangat buruk,netral
mantap,5,mantap,netral
Report kurang responsif,2,report kurang responsif,netral
ok,5,ok,positif
maaf.. mau dioplos dulu..,1,maaf mau dioplos dulu,netral
Ok baik,5,ok baik,positif
Ngeri oplosan'y tdk main-main coy 🤭,1,ngeri oplosany tdk mainmain coy,netral
good,5,good,positif
Lu maen-maen sama rakyat. Ya jangan harap dapat hati rakyat,1,lu maenmaen sama rakyat ya jangan harap dapat hati rakyat,netral
"Verifikasi kendaraan untuk penerimaan jatah BBM bersubsidi tidak pernah berhasil dengan alasan data kendaraan tidak ditemukan, akhirnya beli non subsidi dengan membayar pakai aplikasi, tapi metode pembayaran yang tersedia juga tidak bisa digunakan.",4,verifikasi kendaraan untuk penerimaan jatah bbm bersubsidi tidak pernah berhasil dengan alasan data kendaraan tidak ditemukan akhirnya beli non subsidi dengan membayar pakai aplikasi tapi metode pembayaran yang tersedia juga tidak bisa digunakan,netral
Ribet! Bapuk! Daftar susah! Kacaauu,1,ribet bapuk daftar susah kacaauu,netral
"apakah para pejabat Pertamina sudah tobat,,, saya kasik bintang 1 karna terlalu kecewa dengan pelayanan Pertamina.",1,apakah para pejabat pertamina sudah tobat saya kasik bintang  karna terlalu kecewa dengan pelayanan pertamina,netral
"Beli pertamax isi pertalite, beli pertalite itu es teh jgn2 ya...anjaaaayyyy",1,beli pertamax isi pertalite beli pertalite itu es teh jgn yaanjaaaayyyy,netral
"Validasi aja lama bgt, mau beli bensin aja susah gini",1,validasi aja lama bgt mau beli bensin aja susah gini,netral
Pembelian pertalite menjadi lebih simpel,5,pembelian pertalite menjadi lebih simpel,netral
"Aplikasi ga guna, saya mau ambil barcode dari aplikasi my pertamina tulisanya selalu gagal",1,aplikasi ga guna saya mau ambil barcode dari aplikasi my pertamina tulisanya selalu gagal,netral
"INGAT, SAMPAI KIAMAT PUN BBM INI OPLOSAN!",1,ingat sampai kiamat pun bbm ini oplosan,netral
"padahal akun yg tersambung gopay. pembayaran tidak bisa dipindah ke gopay hanya bisa melalui linkaja , dan bengeknya lagi udh antri lama malah SPBU nya ga bisa pembayaran via mypertamina wkwkw",1,padahal akun yg tersambung gopay pembayaran tidak bisa dipindah ke gopay hanya bisa melalui linkaja  dan bengeknya lagi udh antri lama malah spbu nya ga bisa pembayaran via mypertamina wkwkw,netral
Ko susah sekali aktifasinya hadeuh gimana mo maju BUMN,5,ko susah sekali aktifasinya hadeuh gimana mo maju bumn,netral
"Belum ada pengalaman selama ini, karena selalu konsumsi pertama",5,belum ada pengalaman selama ini karena selalu konsumsi pertama,netral
mantab,5,mantab,netral
Aplikasi kurang responsif.,4,aplikasi kurang responsif,netral
aplikasi yg simpel utk pengisian minyak non subsidi dspbu👍👍👍👍👍 semoga ad evoucer utk isi minyak.. jd bisa di tukarkan sm poin..utk isi pertamax,5,aplikasi yg simpel utk pengisian minyak non subsidi dspbu semoga ad evoucer utk isi minyak jd bisa di tukarkan sm poinutk isi pertamax,netral
Smoga bermanfaat bg sesama,5,smoga bermanfaat bg sesama,netral
Aplikasi busuk.. lemot parah Pengajuan barcode selalu ditolak.. akal²an aja supaya bisa korupsi 👎,1,aplikasi busuk lemot parah pengajuan barcode selalu ditolak akal²an aja supaya bisa korupsi,netral
Verifikasi otp lama dan ga muncul kadang-kandang,2,verifikasi otp lama dan ga muncul kadangkandang,netral
Sangat bermanfaat,5,sangat bermanfaat,netral
"barcode harus diperbarui, kalau gx diperbarui gx bisa isi BBM sementara memperbaharui ditolak trus sama aplikasi nya",2,barcode harus diperbarui kalau gx diperbarui gx bisa isi bbm sementara memperbaharui ditolak trus sama aplikasi nya,netral
jangan banyak korupsi,5,jangan banyak korupsi,netral
"Aplikasi ngaco, data semua bnar di tolak alasan stnk tidak sesuai, bintang 1 saja",1,aplikasi ngaco data semua bnar di tolak alasan stnk tidak sesuai bintang  saja,netral
Aplikasi kont,1,aplikasi kont,netral
"Udah daftar my Pertamina udah dapet barcode., Udah pernah beli pertalite pake barcode, pas barcode dr foto SC ke hapus dan di aplikasi tidak ada riwayat pembelian malah keterangannya kendaraan belum terdaftar..... Pliss lah kalau aplikasi belum mumpuni jangan dulu di terapkan",1,udah daftar my pertamina udah dapet barcode udah pernah beli pertalite pake barcode pas barcode dr foto sc ke hapus dan di aplikasi tidak ada riwayat pembelian malah keterangannya kendaraan belum terdaftar pliss lah kalau aplikasi belum mumpuni jangan dulu di terapkan,netral
Mohon bantuannya gagal terus dalam mendaftarkan subsidi tepatnya... Gak tau masalahnya apa,1,mohon bantuannya gagal terus dalam mendaftarkan subsidi tepatnya gak tau masalahnya apa,netral
Tetep aja susah akses biosolar untuk nelayan,1,tetep aja susah akses biosolar untuk nelayan,netral
الحمد لله,5,الحمد لله,netral
Ok,5,ok,positif
Oke,5,oke,netral
"Tolong di perbaiki untuk ambil foto data stnk / bpkb biar bisa langsung dari galeri ,biar hasil gambar tidak blur🙏 dan pendaftaran tidak gagal , jangan di persulit",1,tolong di perbaiki untuk ambil foto data stnk  bpkb biar bisa langsung dari galeri biar hasil gambar tidak blur dan pendaftaran tidak gagal  jangan di persulit,netral
sangat membantu dan mudah,5,sangat membantu dan mudah,netral
banyak oplosan utama daerah kendari,1,banyak oplosan utama daerah kendari,netral
Saya mau daftar kok susah kali dapet kode QR nya mohon proses nya dong,2,saya mau daftar kok susah kali dapet kode qr nya mohon proses nya dong,netral
Kenapa foto stnk dari galeri tidak lagi tersedia? Dan harus foto langsung Tidak semua punya waktu untuk itu Saya menyimpan foto stnk di galeri Tolong diperbaiki lagi,5,kenapa foto stnk dari galeri tidak lagi tersedia dan harus foto langsung tidak semua punya waktu untuk itu saya menyimpan foto stnk di galeri tolong diperbaiki lagi,netral
mudah dan capet,5,mudah dan capet,netral
praktis,5,praktis,netral
Jelek,1,jelek,netral
mantull,5,mantull,netral
Sangat membantu untuk mendapatkan pertalite,5,sangat membantu untuk mendapatkan pertalite,netral
"Notif ny gagal / data kendaraan tidak sesuai.. Dah kena tipu pertamina, bikin aplikasi error supaya org2 beralih ke pertamax.. pertamax yg udah d sulap...",1,notif ny gagal  data kendaraan tidak sesuai dah kena tipu pertamina bikin aplikasi error supaya org beralih ke pertamax pertamax yg udah d sulap,netral
Bisa bisa ny no kendaraan sudah terdaftar bukan pk KTP gw.giliran di reset & data ulang muter lagi muter lagi isian data nya.segini aplikasi pemerintah indonesia. ko nyusahin,1,bisa bisa ny no kendaraan sudah terdaftar bukan pk ktp gwgiliran di reset  data ulang muter lagi muter lagi isian data nyasegini aplikasi pemerintah indonesia ko nyusahin,netral
Terlalu repot cara membuat barcode,1,terlalu repot cara membuat barcode,netral
Aplikasi sampah...emang waktu development gak ada testingnya dulu apa ya...kalo belum becus bikin aplikasi yg user friendly gak usah sok sok an beli bensin pake isi aplikasi segala bikin ribet aja kecuali kalo bikin aplikasinya bagus lah ini banyak bugsnya,1,aplikasi sampahemang waktu development gak ada testingnya dulu apa yakalo belum becus bikin aplikasi yg user friendly gak usah sok sok an beli bensin pake isi aplikasi segala bikin ribet aja kecuali kalo bikin aplikasinya bagus lah ini banyak bugsnya,positif
Oke bas,4,oke bas,netral
Sangat membantu,5,sangat membantu,netral
Mantap,5,mantap,netral
"Apa-apaan ini, bukannya di mudahkan buat dapetin barcode ini malah diblokir nopol kendaraan, jelas² kendaraan atas nama pribadi. Tolonglah jangan ngoplos terus, pikirin juga warga yang mau nerbitin barcode.",1,apaapaan ini bukannya di mudahkan buat dapetin barcode ini malah diblokir nopol kendaraan jelas² kendaraan atas nama pribadi tolonglah jangan ngoplos terus pikirin juga warga yang mau nerbitin barcode,netral
Aplikasi buruk mempersulit rakyat kecil entah gimana pelayan aplikasi ini bikin sengsara,1,aplikasi buruk mempersulit rakyat kecil entah gimana pelayan aplikasi ini bikin sengsara,netral
"mantap, dan cepat, tepat pas di saat tak punya uang cash",5,mantap dan cepat tepat pas di saat tak punya uang cash,netral
"Aplikasi tolol, menyusahkan rakyat",1,aplikasi tolol menyusahkan rakyat,netral
Semakin sulit di akses,3,semakin sulit di akses,netral
jos p,5,jos p,netral
Mobil lawas masa isi pertalite pake aplikasi,1,mobil lawas masa isi pertalite pake aplikasi,netral
"Sudah baik, tp alangkah baiknya juga ditambahkan lokasi dimana terakhir kali mobil itu mengisi bbm untuk mempermudah memantau apabila mobil tersebut sudah dicuri. Dan pertegas lagi karyawan spbu yang mengisi mobil tidak menggunakan barcode, karena masih ada saja spbu mengisi tanpa barcode. Terimakasih",4,sudah baik tp alangkah baiknya juga ditambahkan lokasi dimana terakhir kali mobil itu mengisi bbm untuk mempermudah memantau apabila mobil tersebut sudah dicuri dan pertegas lagi karyawan spbu yang mengisi mobil tidak menggunakan barcode karena masih ada saja spbu mengisi tanpa barcode terimakasih,netral
Oplos,1,oplos,netral
minyak y kurang bagus,1,minyak y kurang bagus,netral
Repot. Udah daftar berhasil kluar barcode tp 1 bln ilang entah kemana,1,repot udah daftar berhasil kluar barcode tp  bln ilang entah kemana,netral
Aplikasinya gak jelas Kenapa saat di update malah gak bisa masuk ke menu subsidi tepat,1,aplikasinya gak jelas kenapa saat di update malah gak bisa masuk ke menu subsidi tepat,netral
Ribet,5,ribet,netral
Kenapa stiap masuk ingin daftar slalu salah bukan ny di permudahkan malah di persulit,1,kenapa stiap masuk ingin daftar slalu salah bukan ny di permudahkan malah di persulit,netral
Aplikasi berak,1,aplikasi berak,netral
"Ga semua pertamina dg logo my pertamina bisa bayar pake my pertamina, daerah rempoa , Saran buat pertamina PERTAMAX SAAT INI DIRAGUKAN JALUR PERTALITE ANTRI TTP 1 JALUR DAN PANJANG BUKA AJA JALUR BUAT 2 ATAU FULL JALUR BUAT PERTALITE UNTUK MOTOR GAUSAH RIBET SEMUA SPBU DG ANTRI MOTOR DI 1 JALUR,",1,ga semua pertamina dg logo my pertamina bisa bayar pake my pertamina daerah rempoa  saran buat pertamina pertamax saat ini diragukan jalur pertalite antri ttp  jalur dan panjang buka aja jalur buat  atau full jalur buat pertalite untuk motor gausah ribet semua spbu dg antri motor di  jalur,positif
mudah dan cepat pembayaran. nya,5,mudah dan cepat pembayaran nya,netral
mantap 👍,5,mantap,netral
Syatem yg terbaik buat consumen,5,syatem yg terbaik buat consumen,netral
kasi pilihan shope pay pembayarannya dong,5,kasi pilihan shope pay pembayarannya dong,netral
sy udah sering transaksi kenapa ga dapet dapet poin???,3,sy udah sering transaksi kenapa ga dapet dapet poin,netral
Jual barang oplosan aja ribet,1,jual barang oplosan aja ribet,netral
untuk seluruh jajaran pertamina jangan korupsi,1,untuk seluruh jajaran pertamina jangan korupsi,netral
Makin keren,5,makin keren,netral
