review,rating,timestamp
susah mendaftar nya,1,2025-05-20 00:05:31
berguna sekali d saat tidak punya uang tunai,5,2025-05-19 23:56:19
sangat buruk memper sulit,1,2025-05-19 20:44:03
🇮🇩 Mantap - Sekaleeee 👍👍👍,5,2025-05-19 18:34:48
simpel,5,2025-05-19 17:16:08
"Tolong dong layanan MyPertamina lebih di perhatikan lagi. masa SPBU Pertamina masih suka kendala isi menggunakan MYPERTAMINA. apa tidak kasih fasilitas,atau SPBU yg GK kekeninian atau operator yg Meles..",1,2025-05-19 16:57:37
"buat akun gagal terus, kesalahan pada sistem padahal data sudah benar",1,2025-05-19 15:23:04
sudah terdaftar akun. masuk nik sudah benar dan password nya tapi tidak bisa di buka terus. dan mau menambah kendaraan jadi tidak bisa.,1,2025-05-19 13:42:04
sekelas pertamina sistem eror terus mau buat akun barcode pertalite tidak bisa! payah payahh,1,2025-05-19 13:13:36
kadang aplikasi pas mau bayar suka lemot,2,2025-05-19 12:51:57
"kok sering error ya min sudah berkali2 tidak bisa login padahal NIK dan password sudah benar lupa password dicari NIKnya muncul notifikasi user tidak ditemukan, Padahal kalau pakai browser lancar2 aja",1,2025-05-19 12:50:13
"Upload STNK dari website ditolak karena blur, daftar lewat aplikasi di aplikasi malah NIK salah.",1,2025-05-19 12:44:29
mantap,5,2025-05-19 12:19:21
MANTAP,5,2025-05-19 11:19:14
bagus👍👍,5,2025-05-19 11:07:38
mempersulit rakyat. mau isi bensin aja ribet bgt,1,2025-05-19 10:35:00
sistemnya ko eror terus yaa sy mau daftar gabisa aja dari kmren,3,2025-05-19 10:14:56
"Tolong ditingkatkan lagi distribusi Pertamax & Turbo di Kota Balikpapan, sangat langkah sekali nyarinya, saya sudah sampai 5 SPBU habis terus alias kosong stok Pertamax & Turbo, alhasil saya milih pertalite yang kualitas jelek dan cepat boros daripada mogok tengah jalan",1,2025-05-19 10:03:56
puas,5,2025-05-19 09:45:21
saya tidak bisa login dan tertera akun tidak di temukan,1,2025-05-19 09:42:07
Menyusahkan,3,2025-05-19 09:20:28
tingkatkan layanan,3,2025-05-19 08:32:39
menyesal doang barkot sering di pakai orang. terus sering lihat mobil mewah bisa ikut daftar. ini asli nya buat orang kayak atau orang kelas menengah ke bawah sih,1,2025-05-19 08:28:38
pembeluan pertalite lancar,5,2025-05-19 08:19:21
mantap,5,2025-05-19 07:00:44
bagus sekali,5,2025-05-19 05:01:08
"Jelek banget ini aplikasi, sudah berapa kali nyoba tetap aja ""terjadi kesalahan pada sistem"" gak jelas apa masalahnya mana tanggapan admin nya juga cuman itu-itu aja lagi",1,2025-05-19 04:56:22
"BARCODE UDAH DI SCAN, TAPI KENAPA GA ADA MUTASI PEMAKAIAN, MAU BAYAR PAKAI MYPERTAMINA ALASAN CUMA TERIMA CASH, GILIRAN PAKAI CASH MALAH GA MUNCUL DI RIWAYAT TRANSAKSI, KITA ITU MAU SIMPAN SBG PENGELUARAN, KRN STRUK KALIAN ITU SUDAH SENGAJA TINTANYA YG JENIS CEPAT PUDAR KAN BIKIN EMOSI AJA 😡👎",1,2025-05-19 04:22:29
keren,5,2025-05-19 02:46:07
ga punya akhlak...bikin malu indonesia,1,2025-05-19 02:44:51
"buruk sekali, saya masukin data, selalu gangguan sistem",1,2025-05-19 02:06:17
ko eror ya,5,2025-05-19 01:55:53
berharap kedepannya ada histori tempat ngisinya,4,2025-05-19 01:40:30
"bikin aplikasi pakai otak, judul meringankan atau tepat sasaran , tapi akhirnya mempersulit",1,2025-05-19 01:28:55
Lebih praktis pembayarannya dan dapat discount,5,2025-05-19 00:11:40
sangat membantu dlm saya beraktifitas,5,2025-05-18 21:42:44
semakin susah... NIK bnar password bnar... nggak bisa login.... mau reset password. ket.nya user TDK terdaftar... mau ulang daftar baru... sistem error coba lagi nanti...,1,2025-05-18 17:32:47
semoga aja sistem operasi selalu gak error,5,2025-05-18 15:25:02
good,5,2025-05-18 15:13:29
aplikasi bikin ribet,4,2025-05-18 13:44:18
aplikasi paling Ndak jelas,1,2025-05-18 12:35:35
Terimakasih,5,2025-05-18 11:05:53
"aplikasi super ribet, nomor satu terburuk pelayanan masyarakat di Indonesia",1,2025-05-18 10:44:46
